Sequence,URN,RV,Label
223,urn:cite:hmt:u4.112r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 112r"
372,urn:cite:hmt:u4.186v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 186v"
127,urn:cite:hmt:u4.64r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 64r"
196,urn:cite:hmt:u4.98v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 98v"
255,urn:cite:hmt:u4.128r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 128r"
373,urn:cite:hmt:u4.187r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 187r"
40,urn:cite:hmt:u4.20v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 20v"
162,urn:cite:hmt:u4.81v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 81v"
87,urn:cite:hmt:u4.44r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 44r"
275,urn:cite:hmt:u4.138r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 138r"
57,urn:cite:hmt:u4.29r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 29r"
241,urn:cite:hmt:u4.121r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 121r"
66,urn:cite:hmt:u4.33v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 33v"
368,urn:cite:hmt:u4.184v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 184v"
102,urn:cite:hmt:u4.51v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 51v"
17,urn:cite:hmt:u4.9r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 9r"
98,urn:cite:hmt:u4.49v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 49v"
80,urn:cite:hmt:u4.40v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 40v"
140,urn:cite:hmt:u4.70v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 70v"
138,urn:cite:hmt:u4.69v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 69v"
33,urn:cite:hmt:u4.17r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 17r"
337,urn:cite:hmt:u4.169r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 169r"
320,urn:cite:hmt:u4.160v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 160v"
339,urn:cite:hmt:u4.170r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 170r"
125,urn:cite:hmt:u4.63r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 63r"
159,urn:cite:hmt:u4.80r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 80r"
218,urn:cite:hmt:u4.109v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 109v"
111,urn:cite:hmt:u4.56r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 56r"
50,urn:cite:hmt:u4.25v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 25v"
217,urn:cite:hmt:u4.109r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 109r"
