LacunaUrn,imageReference,Heiberg
urn:cite:ap:lacunae.017,"urn:cite:ecod:codbod8.cb-0008_020r@0.1001,0.7127,0.3003,0.0285",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.4@ἴσον
urn:cite:ap:lacunae.020,"urn:cite:ecod:codbod8.cb-0008_021r@0.2212,0.4734,0.4324,0.0413",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.5@ἔσται
urn:cite:ap:lacunae.028,"urn:cite:ecod:codbod8.cb-0008_026v@0.3954,0.2228,0.5245,0.0293",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.11@ἴσον
urn:cite:ap:lacunae.035,"urn:cite:ecod:codbod8.cb-0008_028v@0.6957,0.2206,0.2372,0.0503",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.14@ἴσον
urn:cite:ap:lacunae.021,"urn:cite:ecod:codbod8.cb-0008_021r@0.1151,0.6692,0.5275,0.051",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.5@ἔσται
urn:cite:ap:lacunae.024,"urn:cite:ecod:codbod8.cb-0008_023v@0.3944,0.3481,0.5726,0.033",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.8@ἔσται
urn:cite:ap:lacunae.033,"urn:cite:ecod:codbod8.cb-0008_027r@0.0871,0.4614,0.5265,0.0435",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.12@ἔσται
urn:cite:ap:lacunae.039,"urn:cite:ecod:codbod8.cb-0008_029r@0.1181,0.7239,0.5335,0.0315",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.16@ἴσον
urn:cite:ap:lacunae.026,"urn:cite:ecod:codbod8.cb-0008_026r@0.0891,0.4389,0.5385,0.0473",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.11@ἔσται
urn:cite:ap:lacunae.029,"urn:cite:ecod:codbod8.cb-0008_026v@0.4004,0.2873,0.5275,0.03",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.11@ἴσον
urn:cite:ap:lacunae.040,"urn:cite:ecod:codbod8.cb-0008_029v@0.3964,0.4449,0.2492,0.0323",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.corollaries.0@ἔσται
urn:cite:ap:lacunae.041,"urn:cite:ecod:codbod8.cb-0008_030r@0.3654,0.5326,0.2793,0.033",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.corollaries.1@ἔσται
urn:cite:ap:lacunae.042,"urn:cite:ecod:codbod8.cb-0008_032v@0.3954,0.2243,0.2713,0.0698",
urn:cite:ap:lacunae.047,"urn:cite:ecod:codbod8.cb-0008_034r@0.0881,0.6017,0.2533,0.0758",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.corollaries.4@ἔσται
urn:cite:ap:lacunae.043,"urn:cite:ecod:codbod8.cb-0008_032v@0.3934,0.3226,0.2823,0.0803",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.corollaries.3@ἔσται
urn:cite:ap:lacunae.044,"urn:cite:ecod:codbod8.cb-0008_032v@0.3924,0.6917,0.5335,0.0285",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.corollaries.3@ἔσται
urn:cite:ap:lacunae.045,"urn:cite:ecod:codbod8.cb-0008_033v@0.3994,0.2828,0.3213,0.0323",
urn:cite:ap:lacunae.046,"urn:cite:ecod:codbod8.cb-0008_034r@0.0871,0.5341,0.5265,0.033",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.corollaries.4@ἔσται
urn:cite:ap:lacunae.048,"urn:cite:ecod:codbod8.cb-0008_034v@0.3894,0.5131,0.3574,0.0353",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.corollaries.5@γίνεται
