Folio	Quire	SmoothHairy	urn:cite:hmt:msA.BifolioWith	ReplacementPage
urn:cite:hmt:msA.183v	22	smooth	urn:cite:hmt:msA.184r	no
urn:cite:hmt:msA.184r	22	smooth	urn:cite:hmt:msA.183v	no
urn:cite:hmt:msA.184v	22	hairy	urn:cite:hmt:msA.183r	no
urn:cite:hmt:msA.185r	22	hairy	urn:cite:hmt:msA.182v	no
urn:cite:hmt:msA.185v	22	smooth	urn:cite:hmt:msA.182r	no
urn:cite:hmt:msA.186r	22	smooth	urn:cite:hmt:msA.181v	no
urn:cite:hmt:msA.186v	22	hairy	urn:cite:hmt:msA.181r	no
urn:cite:hmt:msA.187r	22	hairy	urn:cite:hmt:msA.180v	no
urn:cite:hmt:msA.187v	22	smooth	urn:cite:hmt:msA.180r	no
urn:cite:hmt:msA.188r	23	smooth	urn:cite:hmt:msA.195v	no
urn:cite:hmt:msA.188v	23	hairy	urn:cite:hmt:msA.195r	no
urn:cite:hmt:msA.189r	23	hairy	urn:cite:hmt:msA.194v	no
urn:cite:hmt:msA.189v	23	smooth	urn:cite:hmt:msA.194r	no
urn:cite:hmt:msA.190r	23	smooth	urn:cite:hmt:msA.193v	no
urn:cite:hmt:msA.190v	23	hairy	urn:cite:hmt:msA.193r	no
urn:cite:hmt:msA.191r	23	hairy	urn:cite:hmt:msA.192v	no
urn:cite:hmt:msA.191v	23	smooth	urn:cite:hmt:msA.192r	no
urn:cite:hmt:msA.192r	23	smooth	urn:cite:hmt:msA.191v	no
urn:cite:hmt:msA.192v	23	hairy	urn:cite:hmt:msA.191r	no
urn:cite:hmt:msA.193r	23	hairy	urn:cite:hmt:msA.190v	no
urn:cite:hmt:msA.193v	23	smooth	urn:cite:hmt:msA.190r	no
urn:cite:hmt:msA.194r	23	smooth	urn:cite:hmt:msA.189v	no
urn:cite:hmt:msA.194v	23	hairy	urn:cite:hmt:msA.189r	no
urn:cite:hmt:msA.195r	23	hairy	urn:cite:hmt:msA.188v	no
urn:cite:hmt:msA.195v	23	smooth	urn:cite:hmt:msA.188r	no
urn:cite:hmt:msA.196r	24	smooth	urn:cite:hmt:msA.203v	no
urn:cite:hmt:msA.196v	24	hairy	urn:cite:hmt:msA.203r	no
urn:cite:hmt:msA.197r	24	hairy	urn:cite:hmt:msA.202v	no
urn:cite:hmt:msA.197v	24	smooth	urn:cite:hmt:msA.202r	no
urn:cite:hmt:msA.198r	24	smooth	urn:cite:hmt:msA.201v	no
urn:cite:hmt:msA.198v	24	hairy	urn:cite:hmt:msA.201r	no
urn:cite:hmt:msA.199r	24	hairy	urn:cite:hmt:msA.200v	no
urn:cite:hmt:msA.199v	24	smooth	urn:cite:hmt:msA.200r	no
urn:cite:hmt:msA.200r	24	smooth	urn:cite:hmt:msA.199v	no
urn:cite:hmt:msA.200v	24	hairy	urn:cite:hmt:msA.199r	no
urn:cite:hmt:msA.201r	24	hairy	urn:cite:hmt:msA.198v	no
urn:cite:hmt:msA.201v	24	smooth	urn:cite:hmt:msA.198r	no
urn:cite:hmt:msA.202r	24	smooth	urn:cite:hmt:msA.197v	no
urn:cite:hmt:msA.202v	24	hairy	urn:cite:hmt:msA.197r	no
urn:cite:hmt:msA.203r	24	hairy	urn:cite:hmt:msA.196v	no
urn:cite:hmt:msA.203v	24	smooth	urn:cite:hmt:msA.196r	no
urn:cite:hmt:msA.204r	25	smooth	urn:cite:hmt:msA.211v	no
urn:cite:hmt:msA.204v	25	hairy	urn:cite:hmt:msA.211r	no
urn:cite:hmt:msA.205r	25	hairy	urn:cite:hmt:msA.210v	no
urn:cite:hmt:msA.205v	25	smooth	urn:cite:hmt:msA.210r	no
urn:cite:hmt:msA.206r	25	smooth	urn:cite:hmt:msA.209v	no
urn:cite:hmt:msA.206v	25	hairy	urn:cite:hmt:msA.209r	no
urn:cite:hmt:msA.207r	25	hairy	urn:cite:hmt:msA.208v	no
urn:cite:hmt:msA.207v	25	smooth	urn:cite:hmt:msA.208r	no
urn:cite:hmt:msA.208r	25	smooth	urn:cite:hmt:msA.207v	no
urn:cite:hmt:msA.208v	25	hairy	urn:cite:hmt:msA.207r	no
urn:cite:hmt:msA.209r	25	hairy	urn:cite:hmt:msA.206v	no
urn:cite:hmt:msA.209v	25	smooth	urn:cite:hmt:msA.206r	no
urn:cite:hmt:msA.210r	25	smooth	urn:cite:hmt:msA.205v	no
urn:cite:hmt:msA.210v	25	hairy	urn:cite:hmt:msA.205r	no
urn:cite:hmt:msA.211r	25	hairy	urn:cite:hmt:msA.204v	no
urn:cite:hmt:msA.211v	25	smooth	urn:cite:hmt:msA.204r	no
urn:cite:hmt:msA.212r	26	smooth	urn:cite:hmt:msA.219v	no
urn:cite:hmt:msA.212v	26	hairy	urn:cite:hmt:msA.219r	no
urn:cite:hmt:msA.213r	26	hairy	urn:cite:hmt:msA.218v	no
urn:cite:hmt:msA.213v	26	smooth	urn:cite:hmt:msA.218r	no
urn:cite:hmt:msA.214r	26	smooth	urn:cite:hmt:msA.217v	no
urn:cite:hmt:msA.214v	26	hairy	urn:cite:hmt:msA.217r	no
urn:cite:hmt:msA.215r	26	hairy	urn:cite:hmt:msA.216v	no
urn:cite:hmt:msA.215v	26	smooth	urn:cite:hmt:msA.216r	no
urn:cite:hmt:msA.216r	26	smooth	urn:cite:hmt:msA.215v	no
urn:cite:hmt:msA.216v	26	hairy	urn:cite:hmt:msA.215r	no
urn:cite:hmt:msA.217r	26	hairy	urn:cite:hmt:msA.214v	no
urn:cite:hmt:msA.217v	26	smooth	urn:cite:hmt:msA.214r	no
urn:cite:hmt:msA.218r	26	smooth	urn:cite:hmt:msA.213v	no
urn:cite:hmt:msA.218v	26	hairy	urn:cite:hmt:msA.213r	no
urn:cite:hmt:msA.219r	26	hairy	urn:cite:hmt:msA.212v	no
urn:cite:hmt:msA.219v	26	smooth	urn:cite:hmt:msA.212r	no
urn:cite:hmt:msA.220r	27	smooth	urn:cite:hmt:msA.227v	no
urn:cite:hmt:msA.220v	27	hairy	urn:cite:hmt:msA.227r	no
urn:cite:hmt:msA.221r	27	hairy	urn:cite:hmt:msA.226v	no
urn:cite:hmt:msA.221v	27	smooth	urn:cite:hmt:msA.226r	no
urn:cite:hmt:msA.222r	27	smooth	urn:cite:hmt:msA.225v	no
urn:cite:hmt:msA.222v	27	hairy	urn:cite:hmt:msA.225r	no
urn:cite:hmt:msA.223r	27	hairy	urn:cite:hmt:msA.224v	no
urn:cite:hmt:msA.223v	27	smooth	urn:cite:hmt:msA.224r	no
urn:cite:hmt:msA.224r	27	smooth	urn:cite:hmt:msA.223v	no
urn:cite:hmt:msA.224v	27	hairy	urn:cite:hmt:msA.223r	no
urn:cite:hmt:msA.225r	27	hairy	urn:cite:hmt:msA.222v	no
urn:cite:hmt:msA.225v	27	smooth	urn:cite:hmt:msA.222r	no
urn:cite:hmt:msA.226r	27	smooth	urn:cite:hmt:msA.221v	no
urn:cite:hmt:msA.226v	27	hairy	urn:cite:hmt:msA.221r	no
urn:cite:hmt:msA.227r	27	hairy	urn:cite:hmt:msA.220v	no
urn:cite:hmt:msA.227v	27	smooth	urn:cite:hmt:msA.220r	no
urn:cite:hmt:msA.228r	28	smooth	urn:cite:hmt:msA.235v	no
urn:cite:hmt:msA.228v	28	hairy	urn:cite:hmt:msA.235r	no
urn:cite:hmt:msA.229r	28	hairy	urn:cite:hmt:msA.234v	yes
urn:cite:hmt:msA.229v	28	smooth	urn:cite:hmt:msA.234r	yes
urn:cite:hmt:msA.230r	28	smooth	urn:cite:hmt:msA.233v	yes
urn:cite:hmt:msA.230v	28	hairy	urn:cite:hmt:msA.233r	yes
urn:cite:hmt:msA.231r	28	hairy	urn:cite:hmt:msA.232v	yes
urn:cite:hmt:msA.231v	28	smooth	urn:cite:hmt:msA.232r	yes
urn:cite:hmt:msA.232r	28	smooth	urn:cite:hmt:msA.231v	yes
urn:cite:hmt:msA.232v	28	hairy	urn:cite:hmt:msA.231r	yes
urn:cite:hmt:msA.233r	28	hairy	urn:cite:hmt:msA.230v	yes
urn:cite:hmt:msA.233v	28	smooth	urn:cite:hmt:msA.230r	yes
urn:cite:hmt:msA.234r	28	smooth	urn:cite:hmt:msA.229v	yes
urn:cite:hmt:msA.234v	28	hairy	urn:cite:hmt:msA.229r	yes
urn:cite:hmt:msA.235r	28	hairy	urn:cite:hmt:msA.228v	no
urn:cite:hmt:msA.235v	28	smooth	urn:cite:hmt:msA.228r	no
urn:cite:hmt:msA.236r	29	smooth	urn:cite:hmt:msA.243v	no
urn:cite:hmt:msA.236v	29	hairy	urn:cite:hmt:msA.243r	no
urn:cite:hmt:msA.237r	29	hairy	urn:cite:hmt:msA.242v	no
urn:cite:hmt:msA.237v	29	smooth	urn:cite:hmt:msA.242r	no
urn:cite:hmt:msA.238r	29	smooth	urn:cite:hmt:msA.241v	yes
urn:cite:hmt:msA.238v	29	hairy	urn:cite:hmt:msA.241r	yes
urn:cite:hmt:msA.239r	29	hairy	urn:cite:hmt:msA.240v	no
urn:cite:hmt:msA.239v	29	smooth	urn:cite:hmt:msA.240r	no
urn:cite:hmt:msA.240r	29	smooth	urn:cite:hmt:msA.239v	no
urn:cite:hmt:msA.240v	29	hairy	urn:cite:hmt:msA.239r	no
urn:cite:hmt:msA.241r	29	hairy	urn:cite:hmt:msA.238v	no
urn:cite:hmt:msA.241v	29	smooth	urn:cite:hmt:msA.238r	no
urn:cite:hmt:msA.242r	29	smooth	urn:cite:hmt:msA.237v	no
urn:cite:hmt:msA.242v	29	hairy	urn:cite:hmt:msA.237r	no
urn:cite:hmt:msA.243r	29	hairy	urn:cite:hmt:msA.236v	no
urn:cite:hmt:msA.243v	29	smooth	urn:cite:hmt:msA.236r	no
urn:cite:hmt:msA.244r	30	smooth	urn:cite:hmt:msA.251v	no
urn:cite:hmt:msA.244v	30	hairy	urn:cite:hmt:msA.251r	no
urn:cite:hmt:msA.245r	30	hairy	urn:cite:hmt:msA.250v	no
urn:cite:hmt:msA.245v	30	smooth	urn:cite:hmt:msA.250r	no
urn:cite:hmt:msA.246r	30	smooth	urn:cite:hmt:msA.249v	no
urn:cite:hmt:msA.246v	30	hairy	urn:cite:hmt:msA.249r	no
urn:cite:hmt:msA.247r	30	hairy	urn:cite:hmt:msA.248v	no
urn:cite:hmt:msA.247v	30	smooth	urn:cite:hmt:msA.248r	no
urn:cite:hmt:msA.248r	30	smooth	urn:cite:hmt:msA.247v	no
urn:cite:hmt:msA.248v	30	hairy	urn:cite:hmt:msA.247r	no
urn:cite:hmt:msA.249r	30	hairy	urn:cite:hmt:msA.246v	no
urn:cite:hmt:msA.249v	30	smooth	urn:cite:hmt:msA.246r	no
urn:cite:hmt:msA.250r	30	smooth	urn:cite:hmt:msA.245v	no
urn:cite:hmt:msA.250v	30	hairy	urn:cite:hmt:msA.245r	no
urn:cite:hmt:msA.251r	30	hairy	urn:cite:hmt:msA.244v	no
urn:cite:hmt:msA.251v	30	smooth	urn:cite:hmt:msA.244r	no
urn:cite:hmt:msA.252r	31	smooth	urn:cite:hmt:msA.259v	no
urn:cite:hmt:msA.252v	31	hairy	urn:cite:hmt:msA.259r	no
urn:cite:hmt:msA.253r	31	hairy	urn:cite:hmt:msA.258v	no
urn:cite:hmt:msA.253v	31	smooth	urn:cite:hmt:msA.258r	no
urn:cite:hmt:msA.254r	31	smooth	urn:cite:hmt:msA.257v	yes
urn:cite:hmt:msA.254v	31	hairy	urn:cite:hmt:msA.257r	yes
urn:cite:hmt:msA.255r	31	hairy	urn:cite:hmt:msA.256v	yes
urn:cite:hmt:msA.255v	31	smooth	urn:cite:hmt:msA.256r	yes
urn:cite:hmt:msA.256r	31	smooth	urn:cite:hmt:msA.255v	yes
urn:cite:hmt:msA.256v	31	hairy	urn:cite:hmt:msA.255r	yes
urn:cite:hmt:msA.257r	31	hairy	urn:cite:hmt:msA.254v	yes
urn:cite:hmt:msA.257v	31	smooth	urn:cite:hmt:msA.254r	yes
urn:cite:hmt:msA.258r	31	smooth	urn:cite:hmt:msA.253v	no
urn:cite:hmt:msA.258v	31	hairy	urn:cite:hmt:msA.253r	no
urn:cite:hmt:msA.259r	31	hairy	urn:cite:hmt:msA.252v	no
urn:cite:hmt:msA.259v	31	smooth	urn:cite:hmt:msA.252r	no
urn:cite:hmt:msA.260r	32	smooth	urn:cite:hmt:msA.267v	no
urn:cite:hmt:msA.260v	32	hairy	urn:cite:hmt:msA.267r	no
urn:cite:hmt:msA.261r	32	hairy	urn:cite:hmt:msA.266v	no
urn:cite:hmt:msA.261v	32	smooth	urn:cite:hmt:msA.266r	no
urn:cite:hmt:msA.262r	32	smooth	urn:cite:hmt:msA.265v	no
urn:cite:hmt:msA.262v	32	hairy	urn:cite:hmt:msA.265r	no
urn:cite:hmt:msA.263r	32	hairy	urn:cite:hmt:msA.264v	no
urn:cite:hmt:msA.263v	32	smooth	urn:cite:hmt:msA.264r	no
urn:cite:hmt:msA.264r	32	smooth	urn:cite:hmt:msA.263v	no
urn:cite:hmt:msA.264v	32	hairy	urn:cite:hmt:msA.263r	no
urn:cite:hmt:msA.265r	32	hairy	urn:cite:hmt:msA.262v	no
urn:cite:hmt:msA.265v	32	smooth	urn:cite:hmt:msA.262r	no
urn:cite:hmt:msA.266r	32	smooth	urn:cite:hmt:msA.261v	no
urn:cite:hmt:msA.266v	32	hairy	urn:cite:hmt:msA.261r	no
urn:cite:hmt:msA.267r	32	hairy	urn:cite:hmt:msA.260v	no
urn:cite:hmt:msA.267v	32	smooth	urn:cite:hmt:msA.260r	no
urn:cite:hmt:msA.268r	33	smooth	urn:cite:hmt:msA.275v	no
urn:cite:hmt:msA.268v	33	hairy	urn:cite:hmt:msA.275r	no
urn:cite:hmt:msA.269r	33	hairy	urn:cite:hmt:msA.274v	no
urn:cite:hmt:msA.269v	33	smooth	urn:cite:hmt:msA.274r	no
urn:cite:hmt:msA.270r	33	smooth	urn:cite:hmt:msA.273v	no
urn:cite:hmt:msA.270v	33	hairy	urn:cite:hmt:msA.273r	no
urn:cite:hmt:msA.271r	33	hairy	urn:cite:hmt:msA.272v	no
urn:cite:hmt:msA.271v	33	smooth	urn:cite:hmt:msA.272r	no
urn:cite:hmt:msA.272r	33	smooth	urn:cite:hmt:msA.271v	no
urn:cite:hmt:msA.272v	33	hairy	urn:cite:hmt:msA.271r	no
urn:cite:hmt:msA.273r	33	hairy	urn:cite:hmt:msA.270v	no
urn:cite:hmt:msA.273v	33	smooth	urn:cite:hmt:msA.270r	no
urn:cite:hmt:msA.274r	33	smooth	urn:cite:hmt:msA.269v	no
urn:cite:hmt:msA.274v	33	hairy	urn:cite:hmt:msA.269r	no
urn:cite:hmt:msA.275r	33	hairy	urn:cite:hmt:msA.268v	no
urn:cite:hmt:msA.275v	33	smooth	urn:cite:hmt:msA.268r	no
urn:cite:hmt:msA.276r	34	smooth	urn:cite:hmt:msA.283v	no
urn:cite:hmt:msA.276v	34	hairy	urn:cite:hmt:msA.283r	no
urn:cite:hmt:msA.277r	34	hairy	urn:cite:hmt:msA.282v	no
urn:cite:hmt:msA.277v	34	smooth	urn:cite:hmt:msA.282r	no
urn:cite:hmt:msA.278r	34	smooth	urn:cite:hmt:msA.281v	no
urn:cite:hmt:msA.278v	34	hairy	urn:cite:hmt:msA.281r	no
urn:cite:hmt:msA.279r	34	hairy	urn:cite:hmt:msA.280v	no
urn:cite:hmt:msA.279v	34	smooth	urn:cite:hmt:msA.280r	no
urn:cite:hmt:msA.280r	34	smooth	urn:cite:hmt:msA.279v	no
urn:cite:hmt:msA.280v	34	hairy	urn:cite:hmt:msA.279r	no
urn:cite:hmt:msA.281r	34	hairy	urn:cite:hmt:msA.278v	no
urn:cite:hmt:msA.281v	34	smooth	urn:cite:hmt:msA.278r	no
urn:cite:hmt:msA.282r	34	smooth	urn:cite:hmt:msA.277v	no
urn:cite:hmt:msA.282v	34	hairy	urn:cite:hmt:msA.277r	no
urn:cite:hmt:msA.283r	34	hairy	urn:cite:hmt:msA.276v	no
urn:cite:hmt:msA.283v	34	smooth	urn:cite:hmt:msA.276r	no
urn:cite:hmt:msA.284r	35	smooth	urn:cite:hmt:msA.291v	no
urn:cite:hmt:msA.284v	35	hairy	urn:cite:hmt:msA.291r	no
urn:cite:hmt:msA.285r	35	hairy	urn:cite:hmt:msA.290v	no
urn:cite:hmt:msA.285v	35	smooth	urn:cite:hmt:msA.290r	no
urn:cite:hmt:msA.286r	35	smooth	urn:cite:hmt:msA.289v	no
urn:cite:hmt:msA.286v	35	hairy	urn:cite:hmt:msA.289r	no
urn:cite:hmt:msA.287r	35	hairy	urn:cite:hmt:msA.288v	no
urn:cite:hmt:msA.287v	35	smooth	urn:cite:hmt:msA.288r	no
urn:cite:hmt:msA.288r	35	smooth	urn:cite:hmt:msA.287v	no
urn:cite:hmt:msA.288v	35	hairy	urn:cite:hmt:msA.287r	no
urn:cite:hmt:msA.289r	35	hairy	urn:cite:hmt:msA.286v	no
urn:cite:hmt:msA.289v	35	smooth	urn:cite:hmt:msA.286r	no
urn:cite:hmt:msA.290r	35	smooth	urn:cite:hmt:msA.285v	no
urn:cite:hmt:msA.290v	35	hairy	urn:cite:hmt:msA.285r	no
urn:cite:hmt:msA.291r	35	hairy	urn:cite:hmt:msA.284v	no
urn:cite:hmt:msA.291v	35	smooth	urn:cite:hmt:msA.284r	no
urn:cite:hmt:msA.292r	36	smooth	urn:cite:hmt:msA.299v	no
urn:cite:hmt:msA.292v	36	hairy	urn:cite:hmt:msA.299r	no
urn:cite:hmt:msA.293r	36	hairy	urn:cite:hmt:msA.298v	no
urn:cite:hmt:msA.293v	36	smooth	urn:cite:hmt:msA.298r	no
urn:cite:hmt:msA.294r	36	smooth	urn:cite:hmt:msA.297v	no
urn:cite:hmt:msA.294v	36	hairy	urn:cite:hmt:msA.297r	no
urn:cite:hmt:msA.295r	36	hairy	urn:cite:hmt:msA.296v	no
urn:cite:hmt:msA.295v	36	smooth	urn:cite:hmt:msA.296r	no
urn:cite:hmt:msA.296r	36	smooth	urn:cite:hmt:msA.295v	no
urn:cite:hmt:msA.296v	36	hairy	urn:cite:hmt:msA.295r	no
urn:cite:hmt:msA.297r	36	hairy	urn:cite:hmt:msA.294v	no
urn:cite:hmt:msA.297v	36	smooth	urn:cite:hmt:msA.294r	no
urn:cite:hmt:msA.298r	36	smooth	urn:cite:hmt:msA.293v	no
urn:cite:hmt:msA.298v	36	hairy	urn:cite:hmt:msA.293r	no
urn:cite:hmt:msA.299r	36	hairy	urn:cite:hmt:msA.292v	no
urn:cite:hmt:msA.299v	36	smooth	urn:cite:hmt:msA.292r	no
urn:cite:hmt:msA.300r	37	smooth	urn:cite:hmt:msA.307v	no
urn:cite:hmt:msA.300v	37	hairy	urn:cite:hmt:msA.307r	no
urn:cite:hmt:msA.301r	37	hairy	urn:cite:hmt:msA.306v	no
urn:cite:hmt:msA.301v	37	smooth	urn:cite:hmt:msA.306r	no
urn:cite:hmt:msA.302r	37	smooth	urn:cite:hmt:msA.305v	no
urn:cite:hmt:msA.302v	37	hairy	urn:cite:hmt:msA.305r	no
urn:cite:hmt:msA.303r	37	hairy	urn:cite:hmt:msA.304v	no
urn:cite:hmt:msA.303v	37	smooth	urn:cite:hmt:msA.304r	no
urn:cite:hmt:msA.304r	37	smooth	urn:cite:hmt:msA.303v	no
urn:cite:hmt:msA.304v	37	hairy	urn:cite:hmt:msA.303r	no
urn:cite:hmt:msA.305r	37	hairy	urn:cite:hmt:msA.302v	no
urn:cite:hmt:msA.305v	37	smooth	urn:cite:hmt:msA.302r	no
urn:cite:hmt:msA.306r	37	smooth	urn:cite:hmt:msA.301v	no
urn:cite:hmt:msA.306v	37	hairy	urn:cite:hmt:msA.301r	no
urn:cite:hmt:msA.307r	37	hairy	urn:cite:hmt:msA.300v	no
urn:cite:hmt:msA.307v	37	smooth	urn:cite:hmt:msA.300r	no
urn:cite:hmt:msA.308r	38	smooth	urn:cite:hmt:msA.315v	no
urn:cite:hmt:msA.308v	38	hairy	urn:cite:hmt:msA.315r	no
urn:cite:hmt:msA.309r	38	hairy	urn:cite:hmt:msA.314v	no
urn:cite:hmt:msA.309v	38	smooth	urn:cite:hmt:msA.314r	no
urn:cite:hmt:msA.310r	38	smooth	urn:cite:hmt:msA.313v	no
urn:cite:hmt:msA.310v	38	hairy	urn:cite:hmt:msA.313r	no
urn:cite:hmt:msA.311r	38	hairy	urn:cite:hmt:msA.312v	no
urn:cite:hmt:msA.311v	38	smooth	urn:cite:hmt:msA.312r	no
urn:cite:hmt:msA.312r	38	smooth	urn:cite:hmt:msA.311v	no
urn:cite:hmt:msA.312v	38	hairy	urn:cite:hmt:msA.311r	no
urn:cite:hmt:msA.313r	38	hairy	urn:cite:hmt:msA.310v	no
urn:cite:hmt:msA.313v	38	smooth	urn:cite:hmt:msA.310r	no
urn:cite:hmt:msA.314r	38	smooth	urn:cite:hmt:msA.309v	no
urn:cite:hmt:msA.314v	38	hairy	urn:cite:hmt:msA.309r	no
urn:cite:hmt:msA.315r	38	hairy	urn:cite:hmt:msA.308v	no
urn:cite:hmt:msA.315v	38	smooth	urn:cite:hmt:msA.308r	no
urn:cite:hmt:msA.316r	39	smooth	urn:cite:hmt:msA.323v	no
urn:cite:hmt:msA.316v	39	hairy	urn:cite:hmt:msA.323r	no
urn:cite:hmt:msA.317r	39	hairy	urn:cite:hmt:msA.322v	no
urn:cite:hmt:msA.317v	39	smooth	urn:cite:hmt:msA.322r	no
urn:cite:hmt:msA.318r	39	smooth	urn:cite:hmt:msA.321v	no
urn:cite:hmt:msA.318v	39	hairy	urn:cite:hmt:msA.321r	no
urn:cite:hmt:msA.319r	39	hairy	urn:cite:hmt:msA.320v	yes
urn:cite:hmt:msA.319v	39	smooth	urn:cite:hmt:msA.320r	yes
urn:cite:hmt:msA.320r	39	smooth	urn:cite:hmt:msA.319v	yes
urn:cite:hmt:msA.320v	39	hairy	urn:cite:hmt:msA.319r	yes
urn:cite:hmt:msA.321r	39	hairy	urn:cite:hmt:msA.318v	no
urn:cite:hmt:msA.321v	39	smooth	urn:cite:hmt:msA.318r	no
urn:cite:hmt:msA.322r	39	smooth	urn:cite:hmt:msA.317v	no
urn:cite:hmt:msA.322v	39	hairy	urn:cite:hmt:msA.317r	no
urn:cite:hmt:msA.323r	39	hairy	urn:cite:hmt:msA.316v	no
urn:cite:hmt:msA.323v	39	smooth	urn:cite:hmt:msA.316r	no
urn:cite:hmt:msA.324r	0	smooth	urn:cite:hmt:msA.327v	no
urn:cite:hmt:msA.324v	0	hairy	urn:cite:hmt:msA.327r	no
urn:cite:hmt:msA.325r	0	hairy	urn:cite:hmt:msA.326v	no
urn:cite:hmt:msA.325v	0	smooth	urn:cite:hmt:msA.326r	no
urn:cite:hmt:msA.326r	0	smooth	urn:cite:hmt:msA.325v	no
urn:cite:hmt:msA.326v	0	hairy	urn:cite:hmt:msA.325r	no
urn:cite:hmt:msA.327r	0	hairy	urn:cite:hmt:msA.324v	no
urn:cite:hmt:msA.327v	0	smooth	urn:cite:hmt:msA.324r	no
