Folio	Quire	SmoothHairy	urn:cite:hmt:msA.BifolioWith	ReplacementPage
urn:cite:hmt:msA.51r	5	hairy	urn:cite:hmt:msA.44v	no
urn:cite:hmt:msA.51v	5	smooth	urn:cite:hmt:msA.44r	no
urn:cite:hmt:msA.52r	6	smooth	urn:cite:hmt:msA.59v	no
urn:cite:hmt:msA.52v	6	hairy	urn:cite:hmt:msA.59r	no
urn:cite:hmt:msA.53r	6	hairy	urn:cite:hmt:msA.58v	no
urn:cite:hmt:msA.53v	6	smooth	urn:cite:hmt:msA.58r	no
urn:cite:hmt:msA.54r	6	smooth	urn:cite:hmt:msA.57v	no
urn:cite:hmt:msA.54v	6	hairy	urn:cite:hmt:msA.57r	no
urn:cite:hmt:msA.55r	6	hairy	urn:cite:hmt:msA.56v	no
urn:cite:hmt:msA.55v	6	smooth	urn:cite:hmt:msA.56r	no
urn:cite:hmt:msA.56r	6	smooth	urn:cite:hmt:msA.55v	no
urn:cite:hmt:msA.56v	6	hairy	urn:cite:hmt:msA.55r	no
urn:cite:hmt:msA.57r	6	hairy	urn:cite:hmt:msA.54v	no
urn:cite:hmt:msA.57v	6	smooth	urn:cite:hmt:msA.54r	no
urn:cite:hmt:msA.58r	6	smooth	urn:cite:hmt:msA.53v	no
urn:cite:hmt:msA.58v	6	hairy	urn:cite:hmt:msA.53r	no
urn:cite:hmt:msA.59r	6	hairy	urn:cite:hmt:msA.52v	no
urn:cite:hmt:msA.59v	6	smooth	urn:cite:hmt:msA.52r	no
urn:cite:hmt:msA.60r	7	smooth	urn:cite:hmt:msA.67v	no
urn:cite:hmt:msA.60v	7	hairy	urn:cite:hmt:msA.67r	no
urn:cite:hmt:msA.61r	7	hairy	urn:cite:hmt:msA.66v	no
urn:cite:hmt:msA.61v	7	smooth	urn:cite:hmt:msA.66r	no
urn:cite:hmt:msA.62r	7	smooth	urn:cite:hmt:msA.65v	no
urn:cite:hmt:msA.62v	7	hairy	urn:cite:hmt:msA.65r	no
urn:cite:hmt:msA.63r	7	hairy	urn:cite:hmt:msA.64v	no
urn:cite:hmt:msA.63v	7	smooth	urn:cite:hmt:msA.64r	no
urn:cite:hmt:msA.64r	7	smooth	urn:cite:hmt:msA.63v	no
urn:cite:hmt:msA.64v	7	hairy	urn:cite:hmt:msA.63r	no
urn:cite:hmt:msA.65r	7	hairy	urn:cite:hmt:msA.62v	no
urn:cite:hmt:msA.65v	7	smooth	urn:cite:hmt:msA.62r	no
urn:cite:hmt:msA.66r	7	smooth	urn:cite:hmt:msA.61v	no
urn:cite:hmt:msA.66v	7	hairy	urn:cite:hmt:msA.61r	no
urn:cite:hmt:msA.67r	7	hairy	urn:cite:hmt:msA.60v	no
urn:cite:hmt:msA.67v	7	smooth	urn:cite:hmt:msA.60r	no
urn:cite:hmt:msA.68r	8	smooth	urn:cite:hmt:msA.75v	no
urn:cite:hmt:msA.68v	8	hairy	urn:cite:hmt:msA.75r	no
urn:cite:hmt:msA.69r	8	hairy	urn:cite:hmt:msA.74v	yes
urn:cite:hmt:msA.69v	8	smooth	urn:cite:hmt:msA.74r	yes
urn:cite:hmt:msA.70r	8	smooth	urn:cite:hmt:msA.73v	yes
